run_day,Leaf mass: g 0,Leaf mass: g 50,Leaf mass: g 100,Leaf mass: g 150,Leaf mass: g 200
1,1.565600,2.140000,0.932100,3.858800,2.259400
2,1.565600,2.140000,0.932100,3.858800,2.259400
3,1.565600,2.140000,0.932100,3.858800,2.259400
4,1.565600,2.140000,0.932100,3.858800,2.259400
5,1.565600,2.140000,0.932100,3.858800,2.259400
6,1.565600,2.140000,0.932100,3.858800,2.259400
7,1.565600,2.140000,0.932100,3.858800,2.259400
8,1.565600,2.140000,0.932100,3.858800,2.259400
9,1.565600,2.140000,0.932100,3.858800,2.259400
10,1.565600,2.140000,0.932100,3.858800,2.259400
11,1.565600,2.140000,0.932100,3.858800,2.259400
12,1.565600,2.140000,0.932100,3.858800,2.259400
13,1.565600,2.140000,0.932100,3.858800,2.259400
14,1.565600,2.140000,0.932100,3.858800,2.259400
15,1.565600,2.140000,0.932100,3.858800,2.259400
16,1.565600,2.140000,0.932100,3.858800,2.259400
17,1.565600,2.140000,0.932100,3.858800,2.259400
18,1.565600,2.140000,0.932100,3.858800,2.259400
19,1.565600,2.140000,0.932100,3.858800,2.259400
20,1.565600,2.140000,0.932100,3.858800,2.259400
21,1.565600,2.140000,0.932100,3.858800,2.259400
22,1.565600,2.140000,0.932100,3.858800,2.259400
23,1.565600,2.140000,0.932100,3.858800,2.259400
24,1.565600,2.140000,0.932100,3.858800,2.259400
25,1.565600,2.140000,0.932100,3.858800,2.259400
26,1.565600,2.140000,0.932100,3.858800,2.259400
27,1.565600,2.140000,0.932100,3.858800,2.259400
28,1.565600,2.140000,0.932100,3.858800,2.259400
29,1.565600,2.140000,0.932100,3.858800,2.259400
30,1.565600,2.140000,0.932100,3.858800,2.259400
31,1.565600,2.140000,0.932100,3.858800,2.259400
32,1.565600,2.140000,0.932100,3.858800,2.259400
33,1.565600,2.140000,0.932100,3.858800,2.259400
34,1.565600,2.140000,0.932100,3.858800,2.259400
35,1.565600,2.140000,0.932100,3.858800,2.259400
36,1.565600,2.140000,0.932100,3.858800,2.259400
37,1.565600,2.140000,0.932100,3.858800,2.259400
38,1.565600,2.140000,0.932100,3.858800,2.259400
39,1.565600,2.140000,0.932100,3.858800,2.259400
40,1.565600,2.140000,0.932100,3.858800,2.259400
41,1.565600,2.140000,0.932100,3.858800,2.259400
42,1.565600,2.140000,0.932100,3.858800,2.259400
43,1.565600,2.140000,0.932100,3.858800,2.259400
44,1.565600,2.140000,0.932100,3.858800,2.259400
45,1.565600,2.140000,0.932100,3.858800,2.259400
46,1.565600,2.140000,0.932100,3.858800,2.259400
47,1.565600,2.140000,0.932100,3.858800,2.259400
48,1.565600,2.140000,0.932100,3.858800,2.259400
49,1.565600,2.140000,0.932100,3.858800,2.259400
50,1.565600,2.140000,0.932100,3.858800,2.259400
51,1.565600,2.140000,0.932100,3.858800,2.259400
52,1.565600,2.140000,0.932100,3.858800,2.259400
53,1.565600,2.140000,0.932100,3.858800,2.259400
54,1.565600,2.140000,0.932100,3.858800,2.259400
55,1.565600,2.140000,0.932100,3.858800,2.259400
56,1.565600,2.140000,0.932100,3.858800,2.259400
57,1.565600,2.140000,0.932100,3.858800,2.259400
58,1.565600,2.140000,0.932100,3.858800,2.259400
59,1.565600,2.140000,0.932100,3.858800,2.259400
60,1.565600,2.140000,0.932100,3.858800,2.259400
61,1.565600,2.140000,0.932100,3.858800,2.259400
62,1.565600,2.140000,0.932100,3.858800,2.259400
63,1.565600,2.140000,0.932100,3.858800,2.259400
64,1.565600,2.140000,0.932100,3.858800,2.259400
65,1.565600,2.140000,0.932100,3.858800,2.259400
66,1.565600,2.140000,0.932100,3.858800,2.259400
67,1.565600,2.140000,0.932100,3.858800,2.259400
68,1.565600,2.140000,0.932100,3.858800,2.259400
69,1.565600,2.140000,0.932100,3.858800,2.259400
70,1.565600,2.140000,0.932100,3.858800,2.259400
71,1.565600,2.140000,0.932100,3.858800,2.259400
72,1.565600,2.140000,0.932100,3.858800,2.259400
73,1.565600,2.140000,0.932100,3.858800,2.259400
74,1.565600,2.140000,0.932100,3.858800,2.259400
75,1.565600,2.140000,0.932100,3.858800,2.259400
76,1.565600,2.140000,0.932100,3.858800,2.259400
77,1.565600,2.140000,0.932100,3.858800,2.259400
78,1.565600,2.140000,0.932100,3.858800,2.259400
79,1.565600,2.140000,0.932100,3.858800,2.259400
80,1.565600,2.140000,0.932100,3.858800,2.259400
81,1.565600,2.140000,0.932100,3.858800,2.259400
82,1.565600,2.140000,0.932100,3.858800,2.259400
83,1.565600,2.140000,0.932100,3.858800,2.259400
84,1.565600,2.140000,0.932100,3.858800,2.259400
85,1.565600,2.140000,0.932100,3.858800,2.259400
86,1.565600,2.140000,0.932100,3.858800,2.259400
87,1.565600,2.140000,0.932100,3.858800,2.259400
88,1.565600,2.140000,0.932100,3.858800,2.259400
89,1.565600,2.140000,0.932100,3.858800,2.259400
90,1.565600,2.140000,0.932100,3.858800,2.259400
91,1.565600,2.140000,0.932100,3.858800,2.259400
92,1.565600,2.140000,0.932100,3.858800,2.259400
93,1.565600,2.140000,0.932100,3.858800,2.259400
94,1.565600,2.140000,0.932100,3.858800,2.259400
95,1.565600,2.140000,0.932100,3.858800,2.259400
96,1.565600,2.140000,0.932100,3.858800,2.259400
97,1.565600,2.140000,0.932100,3.858800,2.259400
98,1.565600,2.140000,0.932100,3.858800,2.259400
99,1.565600,2.140000,0.932100,3.858800,2.259400
100,1.565600,2.140000,0.932100,3.858800,2.259400
101,1.565600,2.140000,0.932100,3.858800,2.259400
102,1.565600,2.140000,0.932100,3.858800,2.259400
103,1.565600,2.140000,0.932100,3.858800,2.259400
104,1.565600,2.140000,0.932100,3.858800,2.259400
105,1.565600,2.140000,0.932100,3.858800,2.259400
106,1.565600,2.140000,0.932100,3.858800,2.259400
107,1.565600,2.140000,0.932100,3.858800,2.259400
108,1.565600,2.140000,0.932100,3.858800,2.259400
109,1.565600,2.140000,0.932100,3.858800,2.259400
110,1.565600,2.140000,0.932100,3.858800,2.259400
111,1.565600,2.140000,0.932100,3.858800,2.259400
112,1.565600,2.140000,0.932100,3.858800,2.259400
113,1.565600,2.140000,0.932100,3.858800,2.259400
114,1.565600,2.140000,0.932100,3.858800,2.259400
115,1.565600,2.140000,0.932100,3.858800,2.259400
116,1.565600,2.140000,0.932100,3.858800,2.259400
117,1.565600,2.140000,0.932100,3.858800,2.259400
118,1.565600,2.140000,0.932100,3.858800,2.259400
119,1.565600,2.140000,0.932100,3.858800,2.259400
120,1.565600,2.140000,0.932100,3.858800,2.259400
121,1.565600,2.140000,0.932100,3.858800,2.259400
122,1.565600,2.140000,0.932100,3.858800,2.259400
123,1.565600,2.140000,0.932100,3.858800,2.259400
124,1.565600,2.140000,0.932100,3.858800,2.259400
125,1.565600,2.140000,0.932100,3.858800,2.259400
126,1.565600,2.140000,0.932100,3.858800,2.259400
127,1.565600,2.140000,0.932100,3.858800,2.259400
128,1.565600,2.140000,0.932100,3.858800,2.259400
129,1.565600,2.140000,0.932100,3.858800,2.259400
130,1.565600,2.140000,0.932100,3.858800,2.259400
131,1.565600,2.140000,0.932100,3.858800,2.259400
132,1.565600,2.140000,0.932100,3.858800,2.259400
133,1.565600,2.140000,0.932100,3.858800,2.259400
134,1.565600,2.140000,0.932100,3.858800,2.259400
135,1.565600,2.140000,0.932100,3.858800,2.259400
136,1.565600,2.140000,0.932100,3.858800,2.259400
137,1.565600,2.140000,0.932100,3.858800,2.259400
138,1.565600,2.140000,0.932100,3.858800,2.259400
139,1.565600,2.140000,0.932100,3.858800,2.259400
140,1.565600,2.140000,0.932100,3.858800,2.259400
141,1.565600,2.140000,0.932100,3.858800,2.259400
142,1.565600,2.140000,0.932100,3.858800,2.259400
143,1.565600,2.140000,0.932100,3.858800,2.259400
144,1.565600,2.140000,0.932100,3.858800,2.259400
145,1.565600,2.140000,0.932100,3.858800,2.259400
146,1.565600,2.140000,0.932100,3.858800,2.259400
147,1.565600,2.140000,0.932100,3.858800,2.259400
148,1.565600,2.140000,0.932100,3.858800,2.259400
149,1.565600,2.140000,0.932100,3.858800,2.259400
150,1.565600,2.140000,0.932100,3.858800,2.259400
151,1.565600,2.140000,0.932100,3.858800,2.259400
152,1.565600,2.140000,0.932100,3.858800,2.259400
153,1.565600,2.140000,0.932100,3.858800,2.259400
154,1.565600,2.140000,0.932100,3.858800,2.259400
155,1.565600,2.140000,0.932100,3.858800,2.259400
156,1.565600,2.140000,0.932100,3.858800,2.259400
157,1.565600,2.140000,0.932100,3.858800,2.259400
158,1.565600,2.140000,0.932100,3.858800,2.259400
159,1.565600,2.140000,0.932100,3.858800,2.259400
160,1.565600,2.140000,0.932100,3.858800,2.259400
161,1.565600,2.140000,0.932100,3.858800,2.259400
162,1.565600,2.140000,0.932100,3.858800,2.259400
163,1.565600,2.140000,0.932100,3.858800,2.259400
164,1.565600,2.140000,0.932100,3.858800,2.259400
165,1.565600,2.140000,0.932100,3.858800,2.259400
166,1.565600,2.140000,0.932100,3.858800,2.259400
167,1.565600,2.140000,0.932100,3.858800,2.259400
168,1.565600,2.140000,0.932100,3.858800,2.259400
169,1.565600,2.140000,0.932100,3.858800,2.259400
170,1.565600,2.140000,0.932100,3.858800,2.259400
171,1.565600,2.140000,0.932100,3.858800,2.259400
172,1.565600,2.140000,0.932100,3.858800,2.259400
173,1.565600,2.140000,0.932100,3.858800,2.259400
174,1.565600,2.140000,0.932100,3.858800,2.259400
175,1.565600,2.140000,0.932100,3.858800,2.259400
176,1.565600,2.140000,0.932100,3.858800,2.259400
177,1.565600,2.140000,0.932100,3.858800,2.259400
178,1.565600,2.140000,0.932100,3.858800,2.259400
179,1.565600,2.140000,0.932100,3.858800,2.259400
180,1.565600,2.140000,0.932100,3.858800,2.259400
181,1.565600,2.140000,0.932100,3.858800,2.259400
182,1.565600,2.140000,0.932100,3.858800,2.259400
183,1.565600,2.140000,0.932100,3.858800,2.259400
184,1.565600,2.140000,0.932100,3.858800,2.259400
185,1.565600,2.140000,0.932100,3.858800,2.259400
186,1.565600,2.140000,0.932100,3.858800,2.259400
187,1.565600,2.140000,0.932100,3.858800,2.259400
188,1.565600,2.140000,0.932100,3.858800,2.259400
189,1.565600,2.140000,0.932100,3.858800,2.259400
190,1.565600,2.140000,0.932100,3.858800,2.259400
191,1.565600,2.140000,0.932100,3.858800,2.259400
192,1.565600,2.140000,0.932100,3.858800,2.259400
193,1.565600,2.140000,0.932100,3.858800,2.259400
194,1.565600,2.140000,0.932100,3.858800,2.259400
195,1.565600,2.140000,0.932100,3.858800,2.259400
196,1.565600,2.140000,0.932100,3.858800,2.259400
197,1.565600,2.140000,0.932100,3.858800,2.259400
198,1.565600,2.140000,0.932100,3.858800,2.259400
199,1.565600,2.140000,0.932100,3.858800,2.259400
200,1.565600,2.140000,0.932100,3.858800,2.259400
201,1.565600,2.140000,0.932100,3.858800,2.259400
202,1.565600,2.140000,0.932100,3.858800,2.259400
203,1.565600,2.140000,0.932100,3.858800,2.259400
204,1.565600,2.140000,0.932100,3.858800,2.259400
205,1.565600,2.140000,0.932100,3.858800,2.259400
206,1.565600,2.140000,0.932100,3.858800,2.259400
207,1.565600,2.140000,0.932100,3.858800,2.259400
208,1.565600,2.140000,0.932100,3.858800,2.259400
209,1.565600,2.140000,0.932100,3.858800,2.259400
210,1.565600,2.140000,0.932100,3.858800,2.259400
211,1.565600,2.140000,0.932100,3.858800,2.259400
212,1.565600,2.140000,0.932100,3.858800,2.259400
213,1.565600,2.140000,0.932100,3.858800,2.259400
214,1.565600,2.140000,0.932100,3.858800,2.259400
215,1.565600,2.140000,0.932100,3.858800,2.259400
216,1.565600,2.140000,0.932100,3.858800,2.259400
217,1.565600,2.140000,0.932100,3.858800,2.259400
218,1.565600,2.140000,0.932100,3.858800,2.259400
219,1.565600,2.140000,0.932100,3.858800,2.259400
220,1.565600,2.140000,0.932100,3.858800,2.259400
221,1.565600,2.140000,0.932100,3.858800,2.259400
222,1.565600,2.140000,0.932100,3.858800,2.259400
223,1.565600,2.140000,0.932100,3.858800,2.259400
224,1.565600,2.140000,0.932100,3.858800,2.259400
225,1.565600,2.140000,0.932100,3.858800,2.259400
226,1.565600,2.140000,0.932100,3.858800,2.259400
227,1.565600,2.140000,0.932100,3.858800,2.259400
228,1.565600,2.140000,0.932100,3.858800,2.259400
229,1.565600,2.140000,0.932100,3.858800,2.259400
230,1.565600,2.140000,0.932100,3.858800,2.259400
231,1.565600,2.140000,0.932100,3.858800,2.259400
232,1.565600,2.140000,0.932100,3.858800,2.259400
233,1.565600,2.140000,0.932100,3.858800,2.259400
234,1.565600,2.140000,0.932100,3.858800,2.259400
235,1.565600,2.140000,0.932100,3.858800,2.259400
236,1.565600,2.140000,0.932100,3.858800,2.259400
237,1.565600,2.140000,0.932100,3.858800,2.259400
238,1.565600,2.140000,0.932100,3.858800,2.259400
239,1.565600,2.140000,0.932100,3.858800,2.259400
240,1.565600,2.140000,0.932100,3.858800,2.259400
241,1.565600,2.140000,0.932100,3.858800,2.259400
242,1.565600,2.140000,0.932100,3.858800,2.259400
243,1.565600,2.140000,0.932100,3.858800,2.259400
244,1.565600,2.140000,0.932100,3.858800,2.259400
245,1.565600,2.140000,0.932100,3.858800,2.259400
246,1.565600,2.140000,0.932100,3.858800,2.259400
247,1.565600,2.140000,0.932100,3.858800,2.259400
248,1.565600,2.140000,0.932100,3.858800,2.259400
249,1.565600,2.140000,0.932100,3.858800,2.259400
250,1.565600,2.140000,0.932100,3.858800,2.259400
251,1.565600,2.140000,0.932100,3.858800,2.259400
252,1.565600,2.140000,0.932100,3.858800,2.259400
253,1.565600,2.140000,0.932100,3.858800,2.259400
254,1.565600,2.140000,0.932100,3.858800,2.259400
255,1.565600,2.140000,0.932100,3.858800,2.259400
256,1.565600,2.140000,0.932100,3.858800,2.259400
257,1.565600,2.140000,0.932100,3.858800,2.259400
258,1.565600,2.140000,0.932100,3.858800,2.259400
259,1.565600,2.140000,0.932100,3.858800,2.259400
260,1.565600,2.140000,0.932100,3.858800,2.259400
261,1.565600,2.140000,0.932100,3.858800,2.259400
262,1.565600,2.140000,0.932100,3.858800,2.259400
263,1.565600,2.140000,0.932100,3.858800,2.259400
264,1.565600,2.140000,0.932100,3.858800,2.259400
265,1.565600,2.140000,0.932100,3.858800,2.259400
266,1.565600,2.140000,0.932100,3.858800,2.259400
267,1.565600,2.140000,0.932100,3.858800,2.259400
268,1.565600,2.140000,0.932100,3.858800,2.259400
269,1.565600,2.140000,0.932100,3.858800,2.259400
270,1.565600,2.140000,0.932100,3.858800,2.259400
271,1.565600,2.140000,0.932100,3.858800,2.259400
272,1.565600,2.140000,0.932100,3.858800,2.259400
273,1.565600,2.140000,0.932100,3.858800,2.259400
274,1.565600,2.140000,0.932100,3.858800,2.259400
275,1.565600,2.140000,0.932100,3.858800,2.259400
276,1.565600,2.140000,0.932100,3.858800,2.259400
277,1.565600,2.140000,0.932100,3.858800,2.259400
278,1.565600,2.140000,0.932100,3.858800,2.259400
279,1.565600,2.140000,0.932100,3.858800,2.259400
280,1.565600,2.140000,0.932100,3.858800,2.259400
281,1.565600,2.140000,0.932100,3.858800,2.259400
282,1.565600,2.140000,0.932100,3.858800,2.259400
283,1.565600,2.140000,0.932100,3.858800,2.259400
284,1.565600,2.140000,0.932100,3.858800,2.259400
285,1.565600,2.140000,0.932100,3.858800,2.259400
286,1.565600,2.140000,0.932100,3.858800,2.259400
287,1.565600,2.140000,0.932100,3.858800,2.259400
288,1.565600,2.140000,0.932100,3.858800,2.259400
289,1.565600,2.140000,0.932100,3.858800,2.259400
290,1.565600,2.140000,0.932100,3.858800,2.259400
291,1.565600,2.140000,0.932100,3.858800,2.259400
292,1.565600,2.140000,0.932100,3.858800,2.259400
293,1.565600,2.140000,0.932100,3.858800,2.259400
294,1.565600,2.140000,0.932100,3.858800,2.259400
295,1.565600,2.140000,0.932100,3.858800,2.259400
296,1.565600,2.140000,0.932100,3.858800,2.259400
297,1.565600,2.140000,0.932100,3.858800,2.259400
298,1.565600,2.140000,0.932100,3.858800,2.259400
299,1.565600,2.140000,0.932100,3.858800,2.259400
300,1.565600,2.140000,0.932100,3.858800,2.259400
301,1.565600,2.140000,0.932100,3.858800,2.259400
302,1.565600,2.140000,0.932100,3.858800,2.259400
303,1.565600,2.140000,0.932100,3.858800,2.259400
304,1.565600,2.140000,0.932100,3.858800,2.259400
305,1.565600,2.140000,0.932100,3.858800,2.259400
306,1.565600,2.140000,0.932100,3.858800,2.259400
307,1.565600,2.140000,0.932100,3.858800,2.259400
308,1.565600,2.140000,0.932100,3.858800,2.259400
309,1.565600,2.140000,0.932100,3.858800,2.259400
310,1.565600,2.140000,0.932100,3.858800,2.259400
311,1.565600,2.140000,0.932100,3.858800,2.259400
312,1.565600,2.140000,0.932100,3.858800,2.259400
313,1.565600,2.140000,0.932100,3.858800,2.259400
314,1.565600,2.140000,0.932100,3.858800,2.259400
315,1.565600,2.140000,0.932100,3.858800,2.259400
316,1.565600,2.140000,0.932100,3.858800,2.259400
317,1.565600,2.140000,0.932100,3.858800,2.259400
318,1.565600,2.140000,0.932100,3.858800,2.259400
319,1.565600,2.140000,0.932100,3.858800,2.259400
320,1.565600,2.140000,0.932100,3.858800,2.259400
321,1.565600,2.140000,0.932100,3.858800,2.259400
322,1.565600,2.140000,0.932100,3.858800,2.259400
323,1.565600,2.140000,0.932100,3.858800,2.259400
324,1.565600,2.140000,0.932100,3.858800,2.259400
325,1.565600,2.140000,0.932100,3.858800,2.259400
326,1.565600,2.140000,0.932100,3.858800,2.259400
327,1.565600,2.140000,0.932100,3.858800,2.259400
328,1.565600,2.140000,0.932100,3.858800,2.259400
329,1.565600,2.140000,0.932100,3.858800,2.259400
330,1.565600,2.140000,0.932100,3.858800,2.259400
331,1.565600,2.140000,0.932100,3.858800,2.259400
332,1.565600,2.140000,0.932100,3.858800,2.259400
333,1.565600,2.140000,0.932100,3.858800,2.259400
334,1.565600,2.140000,0.932100,3.858800,2.259400
335,1.565600,2.140000,0.932100,3.858800,2.259400
336,1.565600,2.140000,0.932100,3.858800,2.259400
337,1.565600,2.140000,0.932100,3.858800,2.259400
338,1.565600,2.140000,0.932100,3.858800,2.259400
339,1.565600,2.140000,0.932100,3.858800,2.259400
340,1.565600,2.140000,0.932100,3.858800,2.259400
341,1.565600,2.140000,0.932100,3.858800,2.259400
342,1.565600,2.140000,0.932100,3.858800,2.259400
343,1.565600,2.140000,0.932100,3.858800,2.259400
344,1.565600,2.140000,0.932100,3.858800,2.259400
345,1.565600,2.140000,0.932100,3.858800,2.259400
346,1.565600,2.140000,0.932100,3.858800,2.259400
347,1.565600,2.140000,0.932100,3.858800,2.259400
348,1.565600,2.140000,0.932100,3.858800,2.259400
349,1.565600,2.140000,0.932100,3.858800,2.259400
350,1.565600,2.140000,0.932100,3.858800,2.259400
351,1.565600,2.140000,0.932100,3.858800,2.259400
352,1.565600,2.140000,0.932100,3.858800,2.259400
353,1.565600,2.140000,0.932100,3.858800,2.259400
354,1.565600,2.140000,0.932100,3.858800,2.259400
355,1.565600,2.140000,0.932100,3.858800,2.259400
356,1.565600,2.140000,0.932100,3.858800,2.259400
357,1.565600,2.140000,0.932100,3.858800,2.259400
358,1.565600,2.140000,0.932100,3.858800,2.259400
359,1.565600,2.140000,0.932100,3.858800,2.259400
360,1.565600,2.140000,0.932100,3.858800,2.259400
361,1.565600,2.140000,0.932100,3.858800,2.259400
362,1.565600,2.140000,0.932100,3.858800,2.259400
363,1.565600,2.140000,0.932100,3.858800,2.259400
364,1.565600,2.140000,0.932100,3.858800,2.259400
365,1.565600,2.140000,0.932100,3.858800,2.259400
